name,phone,website,address,rating,reviews,city,category,email
Cosmic Craft Beer,0897010274,http://facebook.com/cosmiccb/,", София център, ул. „Граф Игнатиев“ 34, 1000 София",,,София,магазин алкохол,cosmiccraftbar@gmail.com
Wine and Co.,0889608888,,", София център, ул. ,,Ангел Кънчев"" 7, 1000 София",,,София,магазин алкохол,
La bottega Prima,0885780222,http://labottega.bg/la-bottega-prima.html,", 6, Milin kamak street, 1421 София",,,София,магазин алкохол,
Джаг,,https://www.instagram.com/jag.company/,", Иван Вазов, бул. „Витоша“ 144, 1463 София",,,София,магазин алкохол,
Денонощен магазин Alcohol & Tabakoff Premium Sofia,,https://www.alcoholtabakoff.com/,", София център, бул. „Янко Сакъзов“ 10, 1504 София",,,София,магазин алкохол,client@tabacoshops.net
Дъ уиски шоп,0876331444,http://thewhiskyshop.bg/,", София център, бул. „Генерал Скобелев“ 2, 1463 София",,,София,магазин алкохол,
Поп шоп,0887782525,http://facebook.com/officialpopshop,", София център, ул. „Шипка“ 12, 1000 София",,,София,магазин алкохол,office@popshop.bg
Lime Premium Tobacco,,,", София център, бул. „Княгиня Мария Луиза“ 9-11, 1000 София",,,София,магазин алкохол,
Магазин за алкохол и цигари Витоша - 2 | Денонощен магазин София | Денонощен магазин за алкохол и цигари София,0988823975,,", София център, бул. „Витоша“ 63, 1000 София",,,София,магазин алкохол,
Магазин за алкохол и цигари Витоша - 4 | Нон стоп | Денонощен магазин за алкохол и цигари София,0988780427,,", София център, бул. „Витоша“ 59, 1000 София",,,София,магазин алкохол,
Алкохол и Табакофф,0893399522,http://www.alcoholtabakoff.com/,", София център, бул. „Христо Ботев“ 6, 1463 София",,,София,магазин алкохол,client@tabacoshops.net
CASAVINO Скобелев,0882447797,https://casavino.bg/,", Pette Kyosheta, бул. „Генерал Скобелев“ 59Б, 1606 София",,,София,магазин алкохол,office@casavino.bg
"Havana Premium Tobacco Shop | Магазин за алкохол, пури и цигари",0886865704,,", София център, бул. „Витоша“ 49, 1000 София",,,София,магазин алкохол,
CASAVINO Заимов,0888903519,https://casavino.bg/,", София център, бул. „Янко Сакъзов“ 48, 1504 София",,,София,магазин алкохол,office@casavino.bg
Цигари и алкохол Non Stop,,,", София център, бул. „Патриарх Евтимий“ 12, 1142 София",,,София,магазин алкохол,
Магазин за алкохол и цигари,,,", София център, ул. „Цар Асен“ 3, 1000 София",,,София,магазин алкохол,
МАГАЗИН АВАНТИ - Т.Ц. Галакси,0878549409,http://avanti-bg.com/,", Гео Милев, бул. „Шипченски проход“ 18, 1113 София",,,София,магазин алкохол,
Wine Emporium Sofia - Ekzarh Yosif,0887635688,http://www.emporium.wine/,", София център, ул. „Екзарх Йосиф“ 30, 1000 София",,,София,магазин алкохол,info@emporium.wine
"Магазин за алкохол,тютюневи и захарни изделия и аксесоари Дионис",0894777190,,", София център, ул. „Съборна“ 11, 1000 София",,,София,магазин алкохол,
Alcohol&Tabakoff Dondukov 91-93,,https://alcoholtabakoff.com/,", София център, бул. „Княз Александър Дондуков"" №91, 93 София",,,София,магазин алкохол,client@tabacoshops.net
Денонощне магазин Alcohol & Tabakoff,,https://alcoholtabakoff.com/,", ж.к. Стрелбище, ул. „Дедеагач“ 38, 1408 София",,,София,магазин алкохол,client@tabacoshops.net
Бест Цигарс,0878909807,http://bestcigars.bg/,", София център, ул. „Солунска“ 6, 1000 София",,,София,магазин алкохол,bestcigarsbg@gmail.com
Магазин за Алкохол и Цигари Ballantines,,,", ж.к. Лозенец, ул. „Златовръх“ No.38А, 1000 София",,,София,магазин алкохол,
Магазин за Алкохол и Цигари,,,", ж.к. Лозенец, ул. „Димитър Хаджикоцев“ 25, 1421 София",,,София,магазин алкохол,
La Petite Suisse - Малката Швейцария,0876485620,https://www.swissshop.bg/,", София център, ул. „Граф Игнатиев“ 13, 1000 София",,,София,магазин алкохол,d.avramov@swissshop.bg
Sip & Savor | Premium Alcohol and tobacco store,0882497409,,", София център, ул. „Цар Асен“ 21, 1000 София",,,София,магазин алкохол,
Магазин за алкохол и цигари Витоша - 1 | Денонощен магазин София | Денонощен магазин за алкохол и цигари,0988933546,,", магазин Алкохол и Цигари, ж.к. Лозенец, ул. „Кричим“ 2, 1421 София",,,София,магазин алкохол,
Балабан уайн,0889453356,http://www.balaban.wine/,", София център, ул. „Кракра“ 22, 1504 София",,,София,магазин алкохол,office@balaban.wine
Alcohol&Tobacco shop,0883940004,,", София център, ул. „6-ти септември“ 19, 1000 София",,,София,магазин алкохол,
Tobacco and Drinks,,,", София център, ул. „Георги С. Раковски“ 135, 1000 София",,,София,магазин алкохол,
Alcohol center 5,,,", Хладилника, бул. „Черни връх“ 68, 1407 София",,,София,магазин алкохол,
Vitosha shops,0988823975,,", София център, бул. „Витоша“ 58, 1463 София",,,София,магазин алкохол,
Магазин Ванкаро,0878440659,http://www.1001beers.bg/,", София център, бул. „Княз Александър Дондуков"" 31, 1000 София",,,София,магазин алкохол,contact@2002beers.com
Вагабонт,,https://ontap.bg/v/vagabond,", София център, ул. „Цар Симеон“ 78, 1202 София",,,София,магазин алкохол,
Магазин за цигари и алкохол,0893714184,,", ж.к. Банишора, ул. „Опълченска“, 1000 София",,,София,магазин алкохол,
Алкохол,,,", Пазар ""Ситняково, 1111 София",,,София,магазин алкохол,
Vinello Batenberg,0886455223,http://www.vaykwines.com/,", София център, ул. „Ген. Гурко"" 1, 1000 София",,,София,магазин алкохол,
БИРЕНОТО 2,,http://birenoto.me/,", Магазин Биреното, София център, бул. „Янко Сакъзов“ 52, 1504 София",,,София,магазин алкохол,webmaster@birenotome.42solutions.bg
LuxMarket - магазин за алкохол и цигари,0882161880,https://luxmarketsofia.com/magazini/magazin-2-luxmarket/,", Old City Center, ул. „Княз Борис I“ 89, 1000 София",,,София,магазин алкохол,
Non Stop Tabacco & Drinks - Алкохол и Цигари в центъра на София ( Premium Candy Shop ),,https://premiumcandybox.bg/,", София център, ул. „Алабин И. Вл.“ 54, 1000 София",,,София,цигари и алкохол,hello@premiumcandybox.bg
Кафе Фреш Алкохол Цигари,,,", София център, ул. „Цар Асен“ 3, 1000 София",,,София,цигари и алкохол,
Чешките бири - алкохол и цигари,,,", София център, ул. „Княз Борис I“ 72, 1612 София",,,София,цигари и алкохол,
Алкохол и цигари нонстоп,,,", ж.к. Банишора, бул. „Христо Ботев“ 131, 1202 София",,,София,цигари и алкохол,
Tabacchi,0899923817,,", София център, бул. „Александър Стамболийски“ 84, 1303 София",,,София,цигари и алкохол,
"Магазин Цигари, Алкохол, Кафе - КАФЕТЕРИЯ 2016",,https://www.facebook.com/profile.php?id=61556665329152,", Pette Kyosheta, ул. „Софроний Врачански“ 1, 1000 София",,,София,цигари и алкохол,
"Магазин алкохол, цигари, захарни изделия",,,", София център, бул. „Христо Ботев“ 34, 1000 София",,,София,цигари и алкохол,
Alcohol&Tabakoff Skobelev,0893399522,,", Pette Kyosheta, бул. „Генерал Скобелев“ 59, 1606 София",,,София,цигари и алкохол,
"МАГАЗИН ЗА ХРАНИТЕЛНИ СТОКИ, АЛКОХОЛ И ЦИГАРИ",,,", София център, ул. „Чамкория“ 7, 1527 София",,,София,цигари и алкохол,
Магазин Цигари и Алкохол,,,", ж.к. Хаджи Димитър, ул. „Кочо Честименски“ 54, 1510 София",,,София,цигари и алкохол,
Магазин за Алкохол и Цигари Златовръх 50,0888886686,,", ж.к. Лозенец, ул. „Златовръх“ 50, 1164 София",,,София,цигари и алкохол,
Дива Табако - Магазин за цигари и алкохол,0895397773,,", Редута, ул. „Велчо Атанасов“ 52, 1505 София",,,София,цигари и алкохол,
Карита - Магазин за алкохол и цигари,0877920395,,", Pette Kyosheta, бул. „Прага“ 30, 1606 София",,,София,цигари и алкохол,
"Магазин за кафе, алкохол и цигари",0888544733,,", Pette Kyosheta, бул. „Витоша“ 85, 1463 София",,,София,цигари и алкохол,
M&V Alcohol and Tobacco,,,", ж.к. Стрелбище, ул. „Йордан Йовков“ 18-20, 1408 София",,,София,цигари и алкохол,
"NG кафе, цигари, алкохол",,,", София център, бул. „Княз Александър Дондуков"" 34, 1000 София",,,София,цигари и алкохол,
"Алкохол, Цигари и Закуски",,,", ж.к. Лозенец, ул. „Вискяр планина“ 19, 1407 София",,,София,цигари и алкохол,
Т-рех цигари и алкохол нон-стоп,0889323832,,", София център, булевард Сливница 108, 1303 София",,,София,цигари и алкохол,
Алкохол и цигари,,,", ж.к. Люлин 9, ул. „Търново“ 23А, 1324 София",,,София,цигари и алкохол,
Алкохол и цигари 333,0879600587,,", Студентски Комплекс, ул. Академик Николай Стоянов 13, 1000 София",,,София,цигари и алкохол,
Магазин за алкохол и цигари / Alcohol and tobacco store,,,", Гео Милев, ул. „Цветан Радославов“ 6, 1113 София",,,София,цигари и алкохол,
Алкохол енд Табакофф,0893399522,,", Оборище, бул. „Мадрид“ 46, 1505 София",,,София,цигари и алкохол,
Mагазин за алкохол и цигари Street Bar Dianabad,,,", ж.к. Дианабад, 33Б, 1172 София",,,София,цигари и алкохол,
кафе алкохол цигари coffee alkhol cigari,,,", София център, бул. „Александър Стамболийски“ 126, 1303 София",,,София,цигари и алкохол,
Джеймсън,,,", ж.к. Света Троица, бул. „Константин Величков“ 57, 1309 София",,,София,цигари и алкохол,
"БН Брадърс Alcohol and Tobacco - Алкохол,Цигари и други | Алкохол и Цигари София | Алкохол и Цигари Борово",0884575654,https://www.facebook.com/%D0%91%D0%9D-%D0%91%D1%80%D0%B0%D0%B4%D1%8A%D1%80%D1%81-Alcohol-and-Tobacco-102326862338117,", ж.к. Красно село - кв. Борово, ул. „Родопски извор“ 56, 1680 София",,,София,цигари и алкохол,
"Магазин За Кафе, Алкохол И Цигари",0884139670,,", Редута, 1505 София",,,София,цигари и алкохол,
GH Tobacco магазин за алкохол и цигари,0898676769,,", Студентски Комплекс, ул. „Никола Габровски“ 102, 1000 София",,,София,цигари и алкохол,
Денонощен магазин- Алкохол и Цигари,,,", ж.к. Зона Б-18, 8, 1309 София",,,София,цигари и алкохол,
24/7 Кафе Цигари Алкохол,,,", Студентски Комплекс, ул. „акад. Борис Стефанов"", 1700 София",,,София,цигари и алкохол,
Мандарин,029581259,http://www.mandarinsupermarkets.com/,", София център, ул. „Христо Белчев“ 8, 1000 София",,,София,денонощен магазин,r.taneva@mandarinsupermarkets.com
Магазинъ 345,029889876,https://magazin345.bg/,", София център, ул. „Веслец“ 4, 1000 София",,,София,денонощен магазин,m345@techno-link.com
Хранителен Магазин Денонощен,,,", София център, ул. „Алабин И. Вл.“ 32, 1000 София",,,София,денонощен магазин,
Червената маймунка,0894414006,,", София център, бул. „Княгиня Мария Луиза“ 52, 1202 София",,,София,денонощен магазин,
Денонощен Магазин/NonStop 24/7 - Alcohol & Tobacco,,,", София център, бул. „Васил Левски“ N30, 1142 София",,,София,денонощен магазин,
Денонощен магазин Куик София,0895626998,,", София център, ул. „Пиротска“ 7, 1000 София",,,София,денонощен магазин,
Бакалия Детелина,,,", София център, бул. „Александър Стамболийски“ 20, 1000 София",,,София,денонощен магазин,
Магазинь 345,,http://magazin345.bg/,", кв. Крива река, ул. „Виктор Григорович“ 1, 1606 София",,,София,денонощен магазин,m345@techno-link.com
Денонощен магазин,,,", ж.к. Лозенец, ул. „Цветна градина“ 5, 1421 София",,,София,денонощен магазин,
345,028623131,https://magazinidar.com/,", Оборище, ул. „Попова шапка“ 1, 1505 София",,,София,денонощен магазин,
Фууд стор,,,", София център, бул. „Генерал Скобелев“ 5, 1463 София",,,София,денонощен магазин,
Денонощен магазин алкохол и цигари,,,", ж.к. Хаджи Димитър, ул. „Васил Петлешков“ 58-68, 1510 София",,,София,денонощен магазин,
"ТОТО - Първи частен денонощен тото пункт "" Четирилистна детелина """,0885758134,https://bgvoice.com/hobi-udovolstvie-i-profesiia-v-edno-chovekut-toto-koito-raboti-denonoshtno-%28video%29,", ж.к. Яворов, ул. „Цар Иван Асен II“ 3, 1124 София",,,София,денонощен магазин,
АБ маркет,,,", кв. Крива река, ул. „Яков Крайков“ 25, 1606 София",,,София,денонощен магазин,
Alcohol & Tabakoff,0893399522,http://www.alcoholtabakoff.com/,", ж.к. Яворов, ул. „Мизия“ 1, 1124 София",,,София,денонощен магазин,client@tabacoshops.net
Супермаркет,,,", Оборище, бул. „Мадрид“ 52, 1505 София",,,София,денонощен магазин,
NON STOP 24/7,,,", кв. Подуяне, ул. „Тодорини кукли“ 6А, 1505 София",,,София,денонощен магазин,
S Mart,0894292090,http://www.bakaliq.com/,", ж.к. Лозенец, ул. „Крум Попов“ 64А, 1421 София",,,София,денонощен магазин,office.bakalia@gmail.com
Денонощен,,,", ж.к. Лев Толстой, бул. „Рожен“ 924, 1220 София",,,София,денонощен магазин,
"С2Н5ОН СТОП - Денонощен магазин, алкохол и цигари Студентски град",0885156315,https://bg-bg.facebook.com/c2h5ohstop/,", до Crown exchange, Студентски Комплекс, ул. „Йордан Йосифов“ 2, 1700 София",,,София,денонощен магазин,c2h5ohnonstop@gmail.com
Магазин 345,,https://magazin345.bg/,", 1111, ул. „Хемус“ 2, 1111 София",,,София,денонощен магазин,m345@techno-link.com
ДЕНОНОЩЕН МАГАЗИН,,,", София център, бул. „Христо Ботев“ 106, 1202 София",,,София,денонощен магазин,
Стивън Магазин - Черковна 39,,https://www.facebook.com/%D0%9C%D0%B0%D0%B3%D0%B0%D0%B7%D0%B8%D0%BD%D0%B8-%D0%A1%D1%82%D0%B8%D0%B2%D1%8A%D0%BD-%D0%A1%D0%BE%D1%84%D0%B8%D1%8F-162897879184391/,", Оборище, ул. „Черковна“ 39, 1505 София",,,София,денонощен магазин,
Хранителни стоки Бакалия,,https://bakaliq.com/,", ж.к. Лозенец, бул. „Арсеналски“ 65, 1421 София",,,София,денонощен магазин,office.bakalia@gmail.com
МAГАЗИНЧЕТО,0888062888,,", ж.к. Красно село - кв. Борово, ул. „Топли дол“ 4-А, 1680 София",,,София,денонощен магазин,
Денонощен магазин - КиД 76 ООД,0899179199,,", ж.к. Зона Б-5-3, бул. „Александър Стамболийски“ 81Б, 1303 София",,,София,денонощен магазин,
Руски гастроном,,,", Иван Вазов, бул. „Витоша“ 103, 1408 София",,,София,денонощен магазин,
Денонощен павилион,,,", ж.к. Хаджи Димитър, ул. „Никола Войновски“ 69, 1510 София",,,София,денонощен магазин,
Куик суходолска 2,,,", ж.к. Западен парк, 1373 София",,,София,денонощен магазин,
Макс,0885326284,https://supermarketmaks.com/,", ж.к. Сухата река, ул. „Стефан Богориди“ 31, 1517 София",,,София,денонощен магазин,makstanchevi@abv.bg
Минимаркет Хъни - денонощен,0878882593,,", ж.к. Надежда 4, ул. „Екзарх Стефан“ 126, 1220 София",,,София,денонощен магазин,
Stop Shop 24/7 - Alcohol & Tobacco,0887692696,,", кв. ГорублянеМладост, ул. „Самоковско шосе“ 16, 1138 София",,,София,нощен магазин,
Rock’n Rolla Bar & Club,0888131318,https://rocknrolla.bg/,", София център, ул. „Граф Игнатиев“ 1, 1000 София",,,София,нощен магазин,support@restaurant.com
Фетиш,0889669449,https://www.fetishsofia.com/,", София център, бул. „Витоша“ 4, 1000 София",,,София,нощен магазин,
Клуб Асайлъм,,https://asylumsofia.com/,", София център, ул. „Христо Белчев“ 1, 1000 София",,,София,нощен магазин,
Денонощен цигари алкохол сладки безалкохолни сладолед,,,", ж.к. Разсадника - Коньовица, бул. „Възкресение“ 19, 1330 София",,,София,нощен магазин,
The White Store Дондуков,0889776077,,", София център, ул. „Стара планина“ 3, 1000 София",,,София,нощен магазин,
Bewiner,0887760677,,", София център, ул. „Ген. Гурко"" 43, 1000 София",,,София,нощен магазин,
THRIFT'N'SIP,0879561418,http://clicknthrift.bg/,", Old City Center, ул. „Цар Самуил“ 7, 1463 София",,,София,нощен магазин,
Денонощното,,,", ж.к. Дружба 1, 1592 София",,,София,нощен магазин,
Денонощен хранителен магазин,,,", ж.к. Младост 1Младост, бул. „Андрей Сахаров“ 41, 1784 София",,,София,нощен магазин,
All Mountain Bar&Shop,0886828383,https://allmountain.bg/,", София център, бул. „Черни връх“ 13, 1000 София",,,София,нощен магазин,
Tequila Residence | Retail & Relaxation,0877431447,https://www.facebook.com/profile.php?id=61554104461768,", София център, ул. „Кракра“ 2, 1504 София",,,София,нощен магазин,
Verychi,0877026781,https://verychi.eu/pages/contact,", София център, ул. „Ген. Гурко"", 1000 София",,,София,нощен магазин,
Купаж - магазин за вино и сирена,0884170301,https://m.facebook.com/coupage42/,", София център, ул. „Солунска“ 42, 1000 София",,,София,нощен магазин,
Sip 'n Bite Sofia Wine Spot,0886376704,https://sofiawinespot.com/,", София център, ул. „Георги С. Раковски“ 145, 1000 София",,,София,нощен магазин,
The White Store Гео Милев,,https://thewhitestore.bg/,", Гео Милев, бул. „Шипченски проход“ 23Б, 1111 София",,,София,нощен магазин,
The Holy Smokes BAR-B-Q BREWPUB & BURGERS,0879325000,http://holysmokesbbq.eu/,", София център, бул. „Васил Левски“ 55, 1142 София",,,София,нощен магазин,
Маймунарника,0879602112,https://maimunarnika.bg/,", София, Алеята над колодрума, Колодрум Сердика, 1164 София",,,София,нощен магазин,
Бедруум премиум,0888764422,http://www.bedroom.bg/,", София център, ул. „Иван Вазов“ 12, 1000 София",,,София,нощен магазин,
"Магазин ""Денонощното""",,,", ул. „Хан Аспарух“ 34, 1532 Казичене",,,София,нощен магазин,
Cohiba Atmosphere Sofia,0877587888,https://cohibaatmosphere.bg/,", София център, ул. „Сан Стефано“ 22, 1504 София",,,София,нощен магазин,
"Книжарница ВЕРЕН, копирен център, издателство",029816241,http://veren.bg/,", София център, пл. „Петко Р. Славейков“ 1, 1000 София","4,9",,София,нощен магазин,
Bairo Record Bar,0883572300,,", София център, ул. „Цар Шишман“ 15, 1000 София",,,София,нощен магазин,
Жадната Ламя,029640640,https://m.facebook.com/profile.php?id=133679666710292,", София център, ул. „13-ти март“ 2, 1142 София",,,София,нощен магазин,
Ла Кав дю Мулен,0882556554,http://moulin.bg/,", София център, ул. „Солунска“ 33, 1000 София",,,София,нощен магазин,
Левъл Ъп София,0879942118,https://www.facebook.com/LevelUpSofia/,", София център, пл. „Петко Р. Славейков“ 7b, 1000 София",,,София,нощен магазин,
Империал Гастрохъб,,https://www.facebook.com/ImperialGastrohub,", София център, ул. „Дякон Игнатий“ 21, 1000 София",,,София,нощен магазин,
Клуб Каркасон,0888468109,,", София център, ул. „Уилям Гладстон“ 30, 1000 София",,,София,нощен магазин,
Caffè-bar Shatorov / Кафe-бар Шаторов,,,", ж.к. Лозенец, ул. „арх. Йордан Миланов“ 3, 1164 София",,,София,нощен магазин,
Non-Stop My Shop - Alcohol & Tobacco 2,,https://instagram.com/my.shop.alcohol.and.tobacco?igshid=MzRlODBiNWFlZA==,", София център, бул. „Княгиня Мария Луиза“ 21, 1000 София",,,София,нон стоп магазин,
NoN Stop PINK Flamingo,,,", София център, ул. „Граф Игнатиев“ 2, 1000 София",,,София,нон стоп магазин,
24 non stop,,,", София център, бул. „Витоша“ 11, 1000 София",,,София,нон стоп магазин,
Бърз нон-стоп,,,", ж.к. Гевгелийски, ул. „Сехово“, 1309 София",,,София,нон стоп магазин,
Tabacchi Center,0899923817,,", София център, ул. „Леге“ 10, 1000 София",,,София,нон стоп магазин,
Tabacco and drinks,,,", София център, бул. „Витоша“ 3, 1000 София",,,София,нон стоп магазин,
Non-Stop My Shop - Alcohol & Tobacco,,https://instagram.com/my.shop.alcohol.and.tobacco?utm_medium=copy_link,", София център, бул. „Христо Ботев“ 60, 1303 София",,,София,нон стоп магазин,
Нон Стоп,,,", ж.к. Сердика, ул. „Гюешево“ 64, 1379 София",,,София,нон стоп магазин,
Дюнер-РОТАНА,0885332828,http://facebook.com/profile.php?id=100070975230714,", София център, ул. „Граф Игнатиев“ 1, 1000 София",,,София,нон стоп магазин,
24/7 non stop shop,,,", София център, бул. „Евлоги и Христо Георгиеви“ 137, 1504 София",,,София,нон стоп магазин,
Non Stop,,,", Редута, ул. „Атанас Узунов“ 56, 1505 София",,,София,нон стоп магазин,
Старбъкс,0894521415,http://www.starbucks.bg/,", София център, ул. „Съборна“ 1, 1000 София",,,София,нон стоп магазин,
Нон стоп,,,", Редута, София",,,София,нон стоп магазин,
Магазин за домашни потреби STOP SHOP,0899114043,http://stopshop-bg.com/,", София център, бул. „Христо Ботев“ 40, 1000 София",,,София,нон стоп магазин,
SB.SHOP NON STOP ALCOHOL AND TOBACCO AND Cooking Food,0876921790,,", София център, бул. „Княгиня Мария Луиза“ 78, 1202 София",,,София,нон стоп магазин,
Nosferatu Craft Beer Shop,0894467155,https://www.facebook.com/nosferatu.craft.beer.shop,", София център, бул. „Патриарх Евтимий“ 28, 1000 София",,,София,нон стоп магазин,
Магазин за алкохол и цигари NON STOP НОН СТОП,0878810787,,", спирка Зимен дворец посока център, Студентски Комплекс, ул. „акад. Борис Стефанов"", 1700 София",,,София,нон стоп магазин,
Quick non stop,,,", ж.к. Илинден, бул. „Александър Стамболийски“ 182, 1309 София",,,София,нон стоп магазин,
Денонощна Аптека,0882940263,,", ж.к. Яворов, 42 Tsar Ivan Asen II Str, 1000 София",,,София,нон стоп магазин,
NON STOP,,,", ж.к. Дружба 2, ж.к. Дружба 314Г, 1582 София",,,София,нон стоп магазин,
Нон стоп Cararo,,,", Студентски Комплекс, ул. „Професор Стефан Димитров“ 8, 1734 София",,,София,нон стоп магазин,
Мини шоп нон-стоп,0885829239,,", Бъкстон, ул. „Вихрен“ 2, 1618 София",,,София,нон стоп магазин,
НОНСТОП ТЕМОРА,0889192061,,", ж.к. Банишора, ул. „Охрид“ 53, 1000 София",,,София,нон стоп магазин,
НОН СТОП,,,", София център, бул. „Cливница“ 289, 1202 София",,,София,нон стоп магазин,
NonStop,,,", Хиподрума, ул. „Царево село“ 1612, 1612 София",,,София,нон стоп магазин,
Трафопоста,,,", ж.к. Христо Смирненски, ул. „Гео Милев“ 1А А, 1574 София",,,София,нон стоп магазин,
Магазини VsDrinks,0898566500,https://www.instagram.com/shops_vsdrinks?igsh=MThsaGc4MWZ2eW1yYg%3D%3D&utm_source=qr,", ж.к. Дървеница, бул. „Климент Охридски“ 25, 1756 София",,,София,нон стоп магазин,
Non-Stop Sex Shop Erotic Center No.1 Студентски,028685757,https://amazonka.bg/,", Зелената сграда до входа на Фантастико зад Виваком, Студентски Комплекс, ул. „акад. Борис Стефанов"" 12, 1700 София",,,София,нон стоп магазин,
Banderol Alcohol & Tobacco 24/7,0883340222,https://www.facebook.com/BanderolAlcoholAndTobacco,", кв. ДрагалевциВитоша, бул. „Черни връх“ 222, 1415 София",,,София,нон стоп магазин,
café Ma Baker,,http://www.mabaker.bg/,", ж.к. Лозенец, бул. „Христо Смирненски“ 36, 1164 София",,,София,нон стоп магазин,
Дионис,,,", 10 Tsar Kaloyan street, 1000 София",,,София,tobacco shop,
Tobacco shop,0885068616,,", София център, бул. „Витоша“ 9, 1000 София",,,София,tobacco shop,
Axel Day & Night (Аксел Дей енд Найт),,,", София център, ул. „Алабин И. Вл.“ 31, 1000 София",,,София,tobacco shop,
Cigar Nomads Sofia tobacco shop,024448181,http://cigarnomads.bg/,", София център, ул. „Княз Борис I“ 77, 1000 София",,,София,tobacco shop,
La Lupi – 24/7 Drinks & Tobacco,,,", София център, ул. „Алабин И. Вл.“ 13, 1000 София",,,София,tobacco shop,
24/7 “Walk in - Walk out” Tobacco and Alchohol shop,0886865704,,", Old City Center, бул. „Цар Освободител“ 10, 1000 София",,,София,tobacco shop,
AllDays tobacco drinks coffee,,,", София център, ул. „Веслец“ 2, 1000 София",,,София,tobacco shop,
Tobacco Best Shop,,,", София център, ул. „Солунска“ 18, 1000 София",,,София,tobacco shop,
Glo,080040800,https://www.myglo.bg/,", София център, бул. „Витоша“ 26, 1000 София",,,София,tobacco shop,
Tobacco & Drinks,,,", София, ул. Г.С.Раковски 157, ет. 2",,,София,tobacco shop,
IQOS Бутик Витоша,080040004,https://bg.iqos.com/bg,", София център, бул. „Витоша“ 47, 1000 София",,,София,tobacco shop,
Friends,0877113715,,", София център, ул. „Граф Игнатиев“ 38, 1000 София",,,София,tobacco shop,
Alcohol & Tobacco Seven DeLuxe,,,", Pette Kyosheta, бул. „Македония“ 6, 1606 София",,,София,tobacco shop,
IQOS Партньор,,http://bg.iqos.com/,", София, ул. Г.С.Раковски 157, ет. 2",,,София,tobacco shop,
420 Shop,0877420662,https://420shop.biz/,", София център, бул. „Васил Левски“ 65, 1000 София",,,София,tobacco shop,
Дъ кофи шоп,,,", София център, ул. „Лавеле“ 18А, 1000 София",,,София,tobacco shop,
DSQUARED2 Cocktails & Lounge,0885802030,http://dsquared2lounge.com/,", София център, пл. „Света Неделя“ 16 square, 1000 София",,,София,tobacco shop,
nargile.bg - Магазин за наргилета и тютюни,0888110001,http://www.nargile.bg/,", София център, бул. „Патриарх Евтимий“ 77, 1463 София",,,София,tobacco shop,
Alcohol and Tobacco,,,", Old City Center, ул. „Георги С. Раковски“ 191a, 1142 София",,,София,tobacco shop,
The White Store Център,,https://thewhitestore.bg/,", София център, бул. „Христо Ботев“ 53, 1606 София",,,София,tobacco shop,
Two Sisters Shop - Alcohol and Tobacco КАПАЦИНОВА,,,", София център, ул. „Георги С. Раковски“ 191, 1142 София",,,София,tobacco shop,
